Name,Age,Nationality,Position,Old_Club,New_Club,Fee,Minutes_This_Season,Minutes_Last_season,Standing_Last_Season,Standing_This_Season,Passes,Assists,Goals,Yellow_Card,Red_Card,Kg,Height,Remaining contract,Titles
Luis Henrique,23,Brazil,Right Midfield,Olympique Marseille,Inter Milan,€23.00m,0,0,0,0,0,0,0,0,0,85,181,undefined,0
Petar Su?i?,21,Croatia,Defensive Midfield,GNK Dinamo Zagreb,Inter Milan,€14.00m,0,3184,0,0,0,2,5,1,0,76,183,36,5
Nicola Zalewski,23,Poland,Left Midfield,AS Roma,Inter Milan,€8.00m,0,1547,1,0,0,2,3,0,0,78,175,0,1
Nicola Zalewski,23,Poland,Left Midfield,Inter Milan,Atalanta BC,€17.00m,0,1547,0,0,0,2,3,1,0,68.94664,175,46,3
Aleksandar Stankovi?,19,Serbia,Defensive Midfield,Inter Milan,Club Brugge KV,€9.50m,0,0,0,0,0,0,0,0,0,80,185,35,3
Tajon Buchanan,26,Canada,Right Winger,Inter Milan,Villarreal CF,€9.00m,0,44,8,3,0,0,0,0,0,68.94664,183,35,5
Martín Satriano,24,Uruguay,Centre-Forward,Inter Milan,RC Lens,€5.00m,82,1864,0,0,0,4,4,4,0,75,187,34,2
Filip Stankovi?,23,Serbia,Goalkeeper,Inter Milan,Venezia FC,€1.50m,1368,3420,7,0,0,0,0,0,0,70,187,undefined,1
Joaquín Correa,30,Argentina,Second Striker,Inter Milan,Botafogo de Futebol e Regatas,free transfer,0,682,5,7,0,2,0,0,0,77,188,0.6,5
Eddie Salcedo,23,Italy,Centre-Forward,Inter Milan,OFI Crete FC,free transfer,607,0,0,0,0,0,0,0,0,74,178,9.5,0
Marko Arnautovic,36,Austria,Centre-Forward,Inter Milan,Red Star Belgrade,free transfer,29,1149,0,0,0,3,7,7,0,83,192,0,6
Nikola Krstovi?,25,Montenegro,Centre-Forward,US Lecce,Atalanta BC,€25.00m,0,0,0,0,0,0,0,0,0,79.83,185,22.3,5
Odilon Kossounou,24,Cote d'Ivoire,Centre-Back,Bayer 04 Leverkusen,Atalanta BC,€20.00m,1125,2295,4,3,1428,0,1,3,0,82,191,12,7
Javi Martón,24,Spain,Centre-Forward,Real Sociedad B,Athletic Bilbao,0,670,1218,5,4,16,0,4,5,0,72,183,1,0
Iñigo Ruiz de Galarreta,29,Spain,Central Midfield,RCD Mallorca,Athletic Bilbao,0,78,2091,5,0,993,1,1,7,0,69,175,0,1
Ander Capa,31,Spain,Right-Back,Athletic Bilbao,Levante UD,0,0,1523,8,0,637,0,0,7,0,75,175,10.5,2
Mikel Balenziaga,35,Spain,Left-Back,Athletic Bilbao,Deportivo de La Coruña,0,0,1755,1,0,0,1,1,5,0,77,177,0,2
Oier Zarraga,24,Spain,Central Midfield,Athletic Bilbao,Udinese Calcio,0,890,394,15,0,92,0,2,0,0,76,175,0,1
Ander Iru,24,Spain,Goalkeeper,Athletic Bilbao,SD Logroñés,0,90,2340,19,0,0,0,0,0,0,88,188,0,0
Iñigo Martínez,32,Spain,Centre-Back,Athletic Bilbao,FC Barcelona,0,0,1296,2,0,1001,0,0,5,0,76,182,0,5
Ça?lar Söyüncü,27,Turkey,Centre-Back,Leicester City,Atlético de Madrid,0,0,114,4,0,0,0,0,0,0,82,185,0,3
César Azpilicueta,33,Spain,Centre-Back,Chelsea FC,Atlético de Madrid,0,0,1423,4,0,867,2,0,4,0,77,178,11,9
?lkay Gündo?an,32,Germany,Central Midfield,Manchester City,FC Barcelona,0,2229,2994,2,1,2163,9,5,5,0,80,180,undefined,undefined
Marc Bartra,32,Spain,Centre-Back,Trabzonspor,Real Betis,0,2099,225,7,6,101,0,0,0,0,69,184,21.6,12
Héctor Bellerín,28,Spain,Right-Back,Sporting CP,Real Betis,0,578,2029,7,0,0,1,0,0,0,74,178,0,8
Ayoze Pérez,29,Spain,Centre-Forward,Leicester City,Real Betis,0,0,2294,7,6,572,1,9,4,0,66,178,5,4
Daley Blind,33,Netherlands,Centre-Back,Bayern Munich,Girona FC,0,58,2972,3,0,0,2,1,3,1,72,180,0,17
Paulo Gazzaniga,31,Argentina,Goalkeeper,Fulham FC,Girona FC,0,3646,3510,3,16,1094,0,0,2,0,90,196,9,2
Adrià Pedrosa,25,Spain,Left-Back,RCD Espanyol,Sevilla FC,0,2305,1753,14,0,0,4,1,5,0,69,176,0,1
Mariano Díaz,30,Dominican Republic,Centre-Forward,Real Madrid,Sevilla FC,0,0,319,14,0,46,0,1,1,0,77,180,0,9
Antoine Griezmann,32,France,Second Striker,FC Barcelona,Atlético de Madrid,22000000,2469,3917,4,3,1062,8,24,5,0,73,176,44,6
Samu Aghehowa,19,Spain,Centre-Forward,Granada CF,Atlético de Madrid,6000000,0,0,0,0,0,0,0,0,0,90,193,58,1
Javi Galán,28,Spain,Left-Back,Celta de Vigo,Atlético de Madrid,5000000,1790,1159,4,6,0,1,0,4,0,70,172,36,1
Santiago Mouriño,21,Uruguay,Centre-Back,Racing Club,Atlético de Madrid,2700000,0,0,0,0,0,0,0,0,0,76,186,17.9,1
Jude Bellingham,20,England,Attacking Midfield,Borussia Dortmund,Real Madrid,127000000,2494,2315,1,0,0,6,19,5,1,75,186,23.5,5
Arda Güler,18,Turkey,Attacking Midfield,Fenerbahce,Real Madrid,24000000,1622,440,1,2,0,0,6,1,0,70,175,29,6
Fran García,23,Spain,Left-Back,Rayo Vallecano,Real Madrid,5000000,2171,1688,1,2,0,5,1,0,0,63,169,23,5
Kepa Arrizabalaga,28,Spain,Goalkeeper,Chelsea FC,Real Madrid,1000000,0,1767,1,0,374,0,0,0,0,84,188,34,8
Joselu,33,Spain,Centre-Forward,RCD Espanyol,Real Madrid,500000,0,1687,1,0,0,2,10,1,0,86,191,11.9,7
Artem Dovbyk,26,Ukraine,Centre-Forward,SC Dnipro-1,Girona FC,7750000,0,2857,3,0,0,10,25,2,0,83,189,undefined,6
Jhon Solís,18,Colombia,Central Midfield,Atlético Nacional,Girona FC,6000000,535,384,3,16,191,0,0,0,0,80,186,9.9,3
Yangel Herrera,25,Venezuela,Central Midfield,Manchester City,Girona FC,5000000,2608,2334,3,16,793,0,5,9,0,78,184,11.5,0
Iván Martín,24,Spain,Attacking Midfield,Villarreal CF,Girona FC,2000000,2039,2729,3,17,1487,4,5,5,0,70,178,23,0
Portu,31,Spain,Right Winger,Getafe CF,Girona FC,1500000,31,1199,8,5,0,5,7,4,0,66,167,21,1
Loïc Badé,23,France,Centre-Back,Stade Rennais,Sevilla FC,12000000,2686,2277,14,13,1113,1,0,5,1,89,191,41.9,1
Dodi Lukébakio,25,Belgium,Right Winger,Hertha BSC,Sevilla FC,10000000,0,1125,14,0,0,1,5,0,0,77,187,10.2,0
Djibril Sow,26,Switzerland,Central Midfield,Eintracht Frankfurt,Sevilla FC,10000000,87,1469,14,0,0,1,1,0,0,76,184,10.9,3
Arsen Zakharyan,20,Russia,Attacking Midfield,Dynamo Moscow,Real Sociedad,13000000,73,1228,6,0,379,2,1,1,0,73,183,10.4,0
Álvaro Odriozola,27,Spain???,Spain,Right-Back,Real Madrid,Real Sociedad,0,0,0,0,0,0,0,0,0,66,176,47.9,5
Kieran Tierney,26,Scotland,Left-Back,Arsenal FC,Real Sociedad,1400000,447,1497,0,0,0,2,0,1,0,69.84,178,22,14
Alexander Sørloth,27,Norway,Centre-Forward,RB Leipzig,Villarreal CF,10000000,0,2489,8,6,448,6,23,6,0,94,195,23,2
Ramón Terrats,22,Spain,Central Midfield,Girona FC,Villarreal CF,2500000,0,0,0,0,0,0,0,0,0,71,181,12,0
Abde Ezzalzouli,21,Morocco,Left Winger,FC Barcelona,Real Betis,7500000,2932,1629,7,0,0,1,5,0,0,73,177,33,4
Sergi Altimira,21,Spain,Central Midfield,Getafe CF,Real Betis,2000000,1972,568,7,6,289,0,1,1,0,78.5,188,undefined,0
Álex Collado,24,Spain,Attacking Midfield,FC Barcelona,Real Betis,500000,0,0,0,0,0,0,0,0,0,66,177,0,2
Jorge de Frutos,26,Spain,Right Winger,Levante UD,Rayo Vallecano,8000000,2495,1549,17,11,344,0,2,1,0,72,173,22.4,0
Andrei Ra?iu,25,Romania,Right-Back,SD Huesca,Rayo Vallecano,5500000,3067,1018,16,8,0,0,0,1,0,72,183,11,1
Sergio Camello,22,Spain,Centre-Forward,Atlético de Madrid,Rayo Vallecano,5000000,1134,1746,17,0,0,1,4,3,0,69,177,34.4,2
Florian Lejeune,32,France,Centre-Back,Deportivo Alavés,Rayo Vallecano,2500000,2966,3327,17,11,1636,1,3,5,0,81,190,11,undefined
Dani Cárdenas,26,Spain,Goalkeeper,Levante UD,Rayo Vallecano,1300000,0,480,17,0,0,0,0,0,0,80,186,19,0
Sergi Darder,29,Spain,Central Midfield,RCD Espanyol,RCD Mallorca,8000000,2744,2157,15,10,725,5,2,4,0,71,180,34.6,1
Cyle Larin,28,Canada,Centre-Forward,Real Valladolid,RCD Mallorca,7500000,1764,1823,15,0,0,2,3,8,0,89.8,188,22,4
Samú Costa,22,Portugal,Defensive Midfield,UD Almería,RCD Mallorca,3000000,2061,2303,15,0,0,1,1,8,0,undefined,185,70,1
Randal Kolo Muani,24,France DR Congo,Centre-Forward,Eintracht Frankfurt,Paris Saint-Germain,€95.00m,0,0,0,0,0,0,0,0,0,73,187,45,7
Manuel Ugarte,22,Uruguay,Defensive Midfield,Sporting CP,Paris Saint-Germain,€60.00m,0,2449,1,0,1214,3,0,10,0,73,182,35,4
Ousmane Dembélé,26,France,Right Winger,FC Barcelona,Paris Saint-Germain,€50.00m,1730,1506,1,1,792,8,3,0,0,67.13,178,10.5,12
Bradley Barcola,20,France Togo,Left Winger,Olympique Lyon,Paris Saint-Germain,€45.00m,3927,2366,1,0,0,9,5,0,0,73,182,34,7
Lucas Hernández,27,France Spain,Left-Back,Bayern Munich,Paris Saint-Germain,€45.00m,0,3027,1,0,1670,2,1,8,0,79,184,11.7,16
Hugo Ekitiké,21,France Cameroon,Centre-Forward,Stade Reims,Paris Saint-Germain,€28.50m,28,8,1,3,0,0,4,0,0,75,190,undefined,4
Kang-in Lee,22,Korea South,Right Winger,RCD Mallorca,Paris Saint-Germain,€22.00m,0,0,0,0,0,0,0,0,0,68,174,24,9
Xavi Simons,20,Netherlands Suriname,Attacking Midfield,PSV Eindhoven,Paris Saint-Germain,€4.00m,0,3468,0,0,0,15,10,11,1,58,179,59,6
Milan Škriniar,28,Slovakia,Centre-Back,Inter Milan,Paris Saint-Germain,free transfer,2481,2250,1,0,0,0,1,3,0,82.55,188,undefined,11
Marco Asensio,27,Spain Netherlands,Attacking Midfield,Real Madrid,Paris Saint-Germain,free transfer,618,1113,1,0,0,5,4,0,0,76,182,0,24
Cher Ndour,18,Italy Senegal,Central Midfield,SL Benfica B,Paris Saint-Germain,free transfer,1081,239,1,0,123,0,1,2,0,82,190,0,4
Arnau Tenas,22,Spain,Goalkeeper,FC Barcelona Atlètic,Paris Saint-Germain,free transfer,90,529,1,1,173,1,0,0,0,85,185,0,8
Gonçalo Ramos,22,Portugal,Centre-Forward,SL Benfica,Paris Saint-Germain,loan transfer,1812,1877,1,1,464,2,14,2,0,79,185,18,11
Neymar,31,Brazil,Attacking Midfield,Paris Saint-Germain,Al-Hilal SFC,€90.00m,701,207,1,2,0,2,0,0,0,68,175,22.5,26
Marco Verratti,30,Italy,Central Midfield,Paris Saint-Germain,Al-Arabi SC,€45.00m,90,1845,5,0,0,8,0,9,0,60,165,33,24
Abdou Diallo,27,Senegal France,Centre-Back,Paris Saint-Germain,Al-Arabi SC,€15.00m,0,0,5,5,0,0,1,5,0,79,186,10,11
El Chadaille Bitshiabu,18,France DR Congo,Centre-Back,Paris Saint-Germain,RB Leipzig,€15.00m,1629,34,4,0,48,0,0,0,0,95,196,11,2
Mauro Icardi,30,Argentina Italy,Centre-Forward,Paris Saint-Germain,Galatasaray,€10.00m,523,3914,1,1,0,12,32,2,0,75,181,11,11
Julian Draxler,29,Germany,Left Winger,Paris Saint-Germain,Al-Ahli SC,€9.00m,90,939,3,0,0,4,7,0,0,72.12,185.42,9,15
Georginio Wijnaldum,32,Netherlands Suriname,Central Midfield,Paris Saint-Germain,Al-Ettifaq FC,€8.00m,0,2758,6,0,0,6,7,1,0,74,175,9,7
Junior Dina Ebimbe,22,France Cameroon,Right Midfield,Paris Saint-Germain,Eintracht Frankfurt,€6.50m,0,1956,6,0,0,4,5,6,0,76,183,22,1
Leandro Paredes,29,Argentina,Defensive Midfield,Paris Saint-Germain,AS Roma,€5.65m,1373,2634,6,5,1880,5,3,3,3,75,180,0,17
Timothée Pembélé,20,France DR Congo,Right-Back,Paris Saint-Germain,Sunderland AFC,€1.00m,1113,289,16,15,0,0,0,0,0,75,183,9,3
Djeidi Gassama,19,France Mauritania,Left Winger,Paris Saint-Germain,Sheffield Wednesday,€1.00m,0,1612,20,0,0,3,4,3,0,70,177,10.5,1
Renato Sanches,25,Portugal Sao Tome and Principe,Central Midfield,Paris Saint-Germain,AS Roma,Loan fee: €1.00m,0,146,6,0,0,0,1,0,0,70,176,46,13
Elye Wahi,20,France Cote d'Ivoire,Centre-Forward,Montpellier HSC,RC Lens,€30.00m,0,1692,7,0,0,3,9,10,1,77,181,undefined,0
Andy Diouf,20,France Senegal,Central Midfield,FC Basel 1893,RC Lens,€14.00m,2225,1314,7,5,591,0,1,2,0,81,187,47.9,1
Angelo Fulgini,26,France Cote d'Ivoire,Attacking Midfield,1.FSV Mainz 05,RC Lens,€7.20m,1043,1376,7,0,0,2,1,4,0,77,182,41,0
